172.20.0.1 - - [02/Oct/2024:16:48:20 +0000] "GET /storage/assets/logo_footer.png HTTP/1.1" 404 6616 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:24 +0000] "GET / HTTP/1.1" 200 7297 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:26 +0000] "GET /vendor/jquery-3.6.0.min.js HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:26 +0000] "GET /vendor/chart.js HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:26 +0000] "GET /bootstrap/bootstrap.min.css HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:28 +0000] "GET /bootstrap/bootstrap.bundle.min.js HTTP/1.1" 404 6616 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:28 +0000] "GET /fontawesome/css/all.min.css HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:30 +0000] "GET /css/style.css HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:31 +0000] "GET /js/fp.min.js HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
172.20.0.1 - - [02/Oct/2024:16:48:31 +0000] "GET /storage/assets/logo_footer.png HTTP/1.1" 404 6622 "http://localhost:81/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:130.0) Gecko/20100101 Firefox/130.0" "-"
